locations,count
central perk,9448
,7374
the subway,20
ross's apartment,1102
a restaurant,586
iridium,23
museum of prehistoric history,20
carol's ob/gyn,51
barry's office,84
a street,289
madison square garden,77
an emergency room,37
the emergency room,59
a fancy restaurant,9
the launderama,43
fancy restaurant,14
the ladies' bathroom at the restaurant,6
the fancy restaurant,19
a theater,11
the theater,38
a film set,13
the atm vestibule of a bank,1
atm vestibule,15
monica and rachel's balcony,74
cut to inside,2
the hallway of monica's building,11
cut to the other side of the apartment,17
chandler's office,313
the hospital,351
cut to the hospital,21
nana's house,5
nana's bedroom,18
the cemetary,14
the wake,49
carol and susan's apartment,19
carol and susan's,145
the hallway,717
joey enters,11
max and david's lab,40
hospital,18
next is a shot of them dragging an enormous plant into the room,4
a mexican restaurant,18
cut to mrs,22
the coma guy's room,28
phoebe's massage parlor,11
the table store,10
cut to the balcony,33
cut to inside the apartment,40
the bathroom at the restaurant,5
the restaurant,132
chandler's bedroom,34
a chinese restaurant,8
the chinese restaurant,14
out in the hall,3
chandler's job,4
chandler's new window office,11
phoebe's massage parlour,9
rift's restaurant,11
a wintry february day in new york city,37
the lamaze class,17
lamaze class,27
13,14
riff's,30
joe-g's pizza,11
cut to a hallway in the building,10
cut to another part of the building,21
cut to marcel walking along a hallway,16
4,27
a tap class,31
new york city department of correction,18
tap class,4
the airport,119
a hall on the floor where chandler works,9
carol's hospital room,53
the waiting room,117
joey and lydia in the hospital room,16
lydia's hospital room,6
the hall,25
the broom closet,21
carol's room,40
lydia's room,1
the hall outside lydia's room,7
the delivery room,220
airport,15
cut to the jetway,14
frank's tailor shop,3
cut back inside,1
a department store,16
the department store,16
outside central perk,128
monica and rachels apartment,37
central perk close to closing,3
rachel is still cleaning,2
chandler,324
outside in the hallway,23
the next morning on the street,3
at chandler and joey's,279
hallway between the apartments,3
back in chandler and joey's apartment,4
a nice restraunt,26
back in the restraunt,3
rachel and monica's apartment,4
rachel looks at ross as though she remembers something,9
rachel comes out of her room,17
a moment of silence,7
rachel gets up and opens the door,1
rachel slams the door and locks it,1
ross enters,27
ross and rachel look at each other and then at phoebe,1
mr,113
she tastes it,15
joey is looking at rachel,4
ross walks back in,8
ross and chandler stare angrily at joey,7
rachel leaves,2
rachel closes the drapes over the window,3
he opens the window,3
ross runs to rachel's bedroom,1
she closes the door in his face,1
