season,episode,ross_sentence_count,ross_word_count,chandler_sentence_count,chandler_word_count,joey_sentence_count,joey_word_count,rachel_sentence_count,rachel_word_count,monica_sentence_count,monica_word_count,phoebe_sentence_count,phoebe_word_count,monica and chandler's apartment_sentence_count,central perk_sentence_count,joey's apartment_sentence_count,ross's apartment_sentence_count,the hallway_sentence_count,phoebe's apartment_sentence_count,a restaurant_sentence_count,ross and rachel's apartment_sentence_count,rachel's office_sentence_count,the hospital_sentence_count,girls_sentence_count,boys_sentence_count,girls_word_count,boys_word_count,most_sentences_in_location,gender_words_counter,gender_sentences_counter,actor_most_sentences,actor_most_words
1,01,49,337,40,251,40,254,49,361,73,518,20,160,90,140,0,45,0,0,9,0,0,0,142,125,1039,837,central perk,girls,girls,monica,monica
1,02,63,583,17,184,9,70,38,347,28,240,14,119,93,42,0,0,0,0,0,0,0,0,80,88,706,834,monica and chandler's apartment,boys,boys,ross,ross
1,03,33,305,36,377,28,224,26,231,52,481,38,420,94,102,21,0,0,0,5,0,0,0,116,97,1132,906,central perk,girls,girls,monica,monica
1,04,40,310,32,238,24,165,43,333,48,324,32,222,106,81,0,0,0,0,0,0,0,0,122,96,875,713,monica and chandler's apartment,girls,girls,monica,rachel
1,05,40,394,35,303,36,332,37,325,33,298,23,205,9,115,0,12,0,0,0,0,0,0,93,111,828,1029,central perk,boys,boys,ross,ross
1,06,22,198,58,567,30,295,15,135,34,294,10,111,87,44,35,0,0,0,0,0,0,0,59,110,540,1060,monica and chandler's apartment,boys,boys,chandler,chandler
1,07,53,419,25,246,28,223,43,302,24,156,25,247,156,2,0,0,0,0,0,0,0,0,91,105,697,880,monica and chandler's apartment,boys,boys,ross,ross
1,08,48,430,37,324,11,74,18,161,34,241,16,125,47,30,0,0,0,0,0,0,0,11,68,96,527,828,the wake,boys,boys,ross,ross
1,09,36,357,26,248,33,271,35,341,48,406,20,192,73,51,0,0,49,0,0,0,0,0,103,95,939,876,monica and chandler's apartment,girls,girls,monica,monica
1,10,29,286,31,318,19,160,18,150,23,157,49,398,104,76,0,0,0,0,0,0,0,0,90,79,705,764,monica and chandler's apartment,boys,girls,phoebe,phoebe
1,11,62,480,42,365,32,306,19,160,42,279,41,296,45,35,63,0,26,0,0,0,0,1,101,136,732,1151,joey's apartment,boys,boys,ross,ross
1,12,52,454,39,299,38,303,38,316,23,205,45,330,60,27,44,0,4,0,0,0,0,0,105,122,840,1030,monica and chandler's apartment,boys,boys,ross,ross
